"","ppt_id","head_noun","card","pair_type","trial_result","head_noun_tag","dep","AoA","Conc.M","Dom_Pos","Lg10WF"
"275",26,"eyes","Wrinkle","Stranger","Lost","NNS","nsubj",7.21,4.3,"Noun",1.9868
"276",26,"things","Wallet","Stranger","Won","NNS","ROOT",5.89,4.81,"Noun",3.066
"277",26,"pocket","Wallet","Stranger","Won","NN","pobj",5.89,4.81,"Noun",3.066
"278",26,"lot","Smoke","Stranger","Won","NN","nsubj",4,4.96,"Verb",3.5235
"279",26,"action","Smoke","Stranger","Won","NN","dobj",4,4.96,"Verb",3.5235
"280",26,"lot","Snore","Stranger","Won","NN","ROOT",5.94,4.39,"Verb",1.9191
"281",26,"word","Snore","Stranger","Won","NN","dobj",5.94,4.39,"Verb",1.9191
"282",26,"sound","Snore","Stranger","Won","NN","ROOT",5.94,4.39,"Verb",1.9191
"283",26,"transportation","Helmet","Stranger","Won","NN","dobj",5.71,4.92,"Noun",2.6848
"284",26,"version","Welcome","Stranger","Won","NN","pobj",4.06,2.07,"Verb",3.961
"285",26,"friends","Teapot","Stranger","Lost","NNS","pobj",6.22,4.96,"Noun",1.6532
"286",26,"screen","Karaoke","Stranger","Won","NN","pobj",11.85,4.27,"Noun",2.233
"287",26,"president","Queen","Stranger","Lost","NN","pobj",4.42,4.45,"Noun",3.4456
"288",26,"version","Queen","Stranger","Lost","NN","nsubjpass",4.42,4.45,"Noun",3.4456
"289",26,"queen","Queen","Stranger","Lost","NN","ROOT",4.42,4.45,"Noun",3.4456
"290",27,"resume","Skill","Friend","Won","NN","pobj",6.8,2.17,"Noun",2.6075
"291",27,"list","Skill","Friend","Won","NN","attr",6.8,2.17,"Noun",2.6075
"292",27,"night","Skill","Friend","Won","NN","pobj",6.8,2.17,"Noun",2.6075
"293",27,"animal","Fly","Friend","Won","NN","nsubj",3.05,4.64,"Verb",3.6371
